9,999,999,999,999,999,999,999,999,999
15,999,999,999,999,999,999,999,999,999
25,280,202,115,150,223,44,23,203,122
29,999,999,999,169,181,42,26,189,123
31,999,999,999,999,999,999,999,999,999
35,999,999,999,999,999,999,999,999,999
44,999,999,999,999,999,999,999,999,999
54,271,187,102,155,201,43,20,198,113
56,285,157,108,160,165,41,26,155,115
65,999,999,999,999,999,999,999,999,999
69,284,169,117,160,176,44,41,173,111
71,262,202,110,141,205,56,29,185,136
72,999,999,999,999,999,999,999,999,999
83,999,999,999,999,999,999,999,999,999
107,282,177,123,166,186,52,32,179,117
113,302,200,219,164,246,47,12,221,170
119,999,999,999,999,999,999,999,999,999
123,291,244,140,172,257,56,36,240,133
124,999,999,999,999,999,999,999,999,999
143,298,207,159,169,227,67,35,202,148
144,278,217,127,146,226,42,13,206,125
151,282,204,135,146,201,43,21,189,143
153,999,999,999,999,999,999,999,999,999
154,294,159,146,161,168,48,24,156,123
157,281,180,125,159,189,47,31,180,107
175,302,180,148,171,220,46,25,153,156
176,282,209,150,156,244,66,23,228,151
182,264,180,113,151,202,40,16,187,127
185,284,164,126,170,190,37,27,185,120
186,284,171,117,160,175,55,40,172,112
195,288,197,128,141,228,39,20,216,124
197,280,163,133,160,155,55,27,166,124
201,282,136,124,170,151,48,44,130,116
202,999,999,999,157,243,32,12,199,128
235,287,265,157,153,274,54,26,263,144
253,280,163,118,164,158,52,37,149,126
263,999,999,999,134,273,64,15,208,132
264,277,191,117,169,187,49,35,176,115
266,283,161,110,157,173,47,26,163,116
277,282,201,123,153,225,53,18,196,119
293,999,999,999,143,244,49,15,200,150
307,303,174,207,162,231,46,15,205,142
312,999,999,999,999,999,999,999,999,999
313,280,194,124,147,221,51,21,209,129
314,277,162,115,158,173,52,22,172,128
320,281,225,125,156,241,68,19,211,140
333,284,171,118,151,172,54,26,169,124
346,285,160,102,159,177,28,30,165,97
353,291,179,135,152,190,53,35,187,125
355,299,199,135,164,195,48,26,173,123
356,276,186,103,158,195,43,22,181,120
358,287,191,143,162,201,54,6,206,156
371,287,210,122,141,230,33,5,218,136
374,278,191,123,147,212,54,16,209,121
390,282,158,99,163,179,35,35,165,102
399,291,211,140,180,255,61,18,204,148
413,296,210,119,166,218,37,3,228,127
416,280,183,122,153,207,47,30,200,113
417,293,184,129,165,228,58,15,204,131
423,268,180,100,142,184,49,30,180,115
429,281,156,123,160,198,42,39,160,119
431,259,173,112,131,187,52,15,186,140
432,290,153,127,144,155,52,28,157,121
440,276,156,108,146,160,45,18,157,131
452,271,170,118,146,192,52,19,185,127
456,293,158,115,168,164,37,30,167,107
458,999,999,999,155,246,34,36,181,106
464,277,211,139,148,268,54,25,223,135
469,282,170,120,156,183,42,32,172,117
472,290,187,136,152,218,47,20,178,149
480,291,219,135,169,222,36,36,217,117
483,263,166,93,146,181,32,27,182,105
484,294,211,139,149,208,53,17,182,137
504,287,187,117,132,233,40,999,999,999
552,274,150,102,148,159,33,29,148,113
580,276,140,100,151,140,36,20,136,126
599,284,190,118,151,210,30,19,177,119
619,298,220,166,164,245,60,14,223,145
630,999,999,999,144,239,50,999,999,999
651,143,144,118,78,158,31,9,149,123
675,267,138,114,159,144,42,33,154,125
689,280,180,123,156,201,47,19,190,125
730,279,186,126,156,234,32,28,188,123
790,281,176,113,161,192,43,33,173,119
821,278,189,137,164,208,56,31,187,139
876,287,149,126,151,149,46,24,149,118
893,288,167,134,152,216,42,18,169,136
928,282,108,115,156,118,37,35,114,108
934,999,999,999,999,999,999,999,999,999
964,999,999,999,999,999,999,999,999,999
971,281,182,118,161,206,47,26,182,111
1005,256,168,112,127,168,53,22,168,127
1221,297,158,146,154,154,72,22,147,142
1260,291,203,135,162,227,37,16,210,138
1265,282,171,112,149,165,42,20,165,122
1320,294,188,147,151,225,63,5,206,152
1326,289,196,116,161,211,42,21,196,119
1338,291,151,132,156,158,57,13,165,138
1340,287,218,146,157,240,70,12,224,148
1357,282,201,115,172,234,43,25,201,119
